FILENAME,PART,CONTROL,MEDIA,TIME,REGULATION
Plate_1_Specimen_001_A1_A01_001.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_A2_A02_002.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_A3_A03_003.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_B1_B01_013.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_B2_B02_014.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_B3_B03_015.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_C1_C01_025.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_C2_C02_026.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_C3_C03_027.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_D1_D01_037.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_D2_D02_038.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_D3_D03_039.fcs,J04-BCD8-tetR_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A)
Plate_1_Specimen_001_E1_E01_049.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_E2_E02_050.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_E3_E03_051.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_F1_F01_061.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_F2_F02_062.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_F3_F03_063.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_G1_G01_073.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_G2_G02_074.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_G3_G03_075.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_H1_H01_085.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_H2_H02_086.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_H3_H03_087.fcs,tetR_rfp_BCD8_M_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_E4_E04_052.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_E5_E05_053.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_E6_E06_054.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose,0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_F4_F04_064.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_F5_F05_065.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_F6_F06_066.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (100 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_G4_G04_076.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_G5_G05_077.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_G6_G06_078.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (30 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_H4_H04_088.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_H5_H05_089.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_1_Specimen_001_H6_H06_090.fcs,tetR_rfp_BCD8_L_pTet_bfp,,M9_glucose + (10 ng/mL aTc),0,pTet_bfp (Pacific_Blue-A|PE-Texas_Red-A)
Plate_4_Specimen_001_A1_A01_001.fcs,EXPRESSEE_araC_rfp_BCD8_M,,M9_glucose,0,
