Short Name,Features,Custom Name
exp_0_0_0_0,pPhlF|r2|EGFPm|t2|ColE1,EXPRESSOR_pPhlF_1
exp_0_0_0_1,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_2,pPhlF|r2|EGFPm|t2|ColE1,EXPRESSOR_pPhlF_3
exp_0_0_0_3,pPhlF|r2|EGFPm|t2|ColE1,EXPRESSOR_pPhlF_4
exp_0_0_0_4,pPhlF|r2|EGFPm|t2|ColE1,EXPRESSOR_pPhlF_5
exp_0_0_0_5,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_6,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_7,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_8,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_9,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_10,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_11,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_12,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_1
exp_0_0_0_13,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_2
exp_0_0_0_14,pLtetO-1|r2|EGFPm|t2|ColE1,
exp_0_0_0_15,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_4
exp_0_0_0_16,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_5
exp_0_0_0_17,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_6
exp_0_0_0_18,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_7
exp_0_0_0_19,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_8
exp_0_0_0_20,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_9
exp_0_0_0_21,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_10
exp_0_0_0_22,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_11
exp_0_0_0_23,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_12
exp_0_0_0_24,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_1
exp_0_0_0_25,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_2
exp_0_0_0_26,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_3
exp_0_0_0_27,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_4
exp_0_0_0_28,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_5
exp_0_0_0_29,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_6
exp_0_0_0_30,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_7
exp_0_0_0_31,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_8
exp_0_0_0_32,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_9
exp_0_0_0_33,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_10
exp_0_0_0_34,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_11
exp_0_0_0_35,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_12
exp_0_0_0_36,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_1
exp_0_0_0_37,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_2
exp_0_0_0_38,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_3
exp_0_0_0_39,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_4
exp_0_0_0_40,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_5
exp_0_0_0_41,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_6
exp_0_0_0_42,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_7
exp_0_0_0_43,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_8
exp_0_0_0_44,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_9
exp_0_0_0_45,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_10
exp_0_0_0_46,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_11
exp_0_0_0_47,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_12
exp_0_0_0_48,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_1
exp_0_0_0_49,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_2
exp_0_0_0_50,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_3
exp_0_0_0_51,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_4
exp_0_0_0_52,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_5
exp_0_0_0_53,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_6
exp_0_0_0_54,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_7
exp_0_0_0_55,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_8
exp_0_0_0_56,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_9
exp_0_0_0_57,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_10
exp_0_0_0_58,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_11
exp_0_0_0_59,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_12
exp_0_0_0_60,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_61,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_62,pA1LacO|r2|EGFPm|t2|ColE1,EXPRESSOR_pLac_3
exp_0_0_0_63,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_64,pA1LacO|r2|EGFPm|t2|ColE1,EXPRESSOR_pLac_5
exp_0_0_0_65,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_66,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_67,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_68,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_69,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_70,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_71,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_72,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_1
exp_0_0_0_73,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_2
exp_0_0_0_74,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_3
exp_0_0_0_75,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_4
exp_0_0_0_76,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_77,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_6
exp_0_0_0_78,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_79,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_80,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_81,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_10
exp_0_0_0_82,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_83,pBetI|r2|EGFPm|t2|ColE1,
exp_0_1_0_0,para-1|r1|EGFPm|T1|ColE1,
exp_0_1_0_1,para-1|r1|EGFPm|T1|ColE1,
exp_0_1_0_2,para-1|r1|EGFPm|T1|ColE1,
